taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	taxonRank	references	taxonRemarks
Gloeobacteria	Cyanobacteriia		Gloeobacteria	class		
Babeliae	Babeliae	Dependentiae	Babeliae	class	https://gtdb.ecogenomic.org/tree?r=c__Babeliae	
Candidatus_Babeliae	Babeliae		Candidatus Babeliae	class		
Chitinivibrionia	Chitinivibrionia	Fibrobacterota	Chitinivibrionia	class	https://gtdb.ecogenomic.org/tree?r=c__Chitinivibrionia	
Chitinispirillia	Chitinivibrionia		Chitinispirillia	class		
Riflemargulisbacteria	Riflemargulisbacteria	Margulisbacteria	Riflemargulisbacteria	class	https://gtdb.ecogenomic.org/tree?r=c__Riflemargulisbacteria	
Candidatus_Riflemargulisbacteria	Riflemargulisbacteria		Candidatus Riflemargulisbacteria	class		
Termititenacia	Termititenacia	Margulisbacteria	Termititenacia	class	https://gtdb.ecogenomic.org/tree?r=c__Termititenacia	
Candidatus_Termititenacia	Termititenacia		Candidatus Termititenacia	class		
Sumerlaeia	Sumerlaeia	Sumerlaeota	Sumerlaeia	class	https://gtdb.ecogenomic.org/tree?r=c__Sumerlaeia	
Candidatus_Sumerlaeia	Sumerlaeia		Candidatus Sumerlaeia	class		
Ozemobacteria	Ozemobacteria	Riflebacteria	Ozemobacteria	class	https://gtdb.ecogenomic.org/tree?r=c__Ozemobacteria	
Candidatus_Ozemobacteria	Ozemobacteria		Candidatus Ozemobacteria	class		
Gammaproteobacteria	Gammaproteobacteria	Proteobacteria	Gammaproteobacteria	class	https://gtdb.ecogenomic.org/tree?r=c__Gammaproteobacteria	
Halobacteria	Gammaproteobacteria		Halobacteria	class		
BOG-944	BOG-944	Armatimonadota	BOG-944	class	https://gtdb.ecogenomic.org/tree?r=c__BOG-944	
Armatimonadia	BOG-944		Armatimonadia	class		
Mycobacteriales	Mycobacteriales	Actinomycetia	Mycobacteriales	order	https://gtdb.ecogenomic.org/tree?r=o__Mycobacteriales	
Corynebacteriales	Mycobacteriales		Corynebacteriales	order		
Enterobacterales	Enterobacterales	Gammaproteobacteria	Enterobacterales	order	https://gtdb.ecogenomic.org/tree?r=o__Enterobacterales	
Vibrionales	Enterobacterales		Vibrionales	order		
Burkholderiales	Burkholderiales	Gammaproteobacteria	Burkholderiales	order	https://gtdb.ecogenomic.org/tree?r=o__Burkholderiales	
Neisseriales	Burkholderiales		Neisseriales	order		
Actinomycetales	Actinomycetales	Actinomycetia	Actinomycetales	order	https://gtdb.ecogenomic.org/tree?r=o__Actinomycetales	
Micrococcales	Actinomycetales		Micrococcales	order		
Enterobacterales	Enterobacterales	Gammaproteobacteria	Enterobacterales	order	https://gtdb.ecogenomic.org/tree?r=o__Enterobacterales	
Pasteurellales	Enterobacterales		Pasteurellales	order		
